"EVAL_GRP","FORTYPCD","COUNTYCD","VOLCFNET"
11982,141,1,2510907.103094
11982,142,1,10138781.777826
11982,161,1,13154242.386415
11982,406,1,13896713.064793
11982,500,1,NA
11982,503,1,9696910.069145
11982,506,1,2617254.185013
11982,514,1,602901.30186
11982,520,1,3729901.404671
11982,141,3,15618757.069318
11982,142,3,10101057.817994
11982,161,3,NA
11982,403,3,4495256.002146
11982,407,3,720033.795936
11982,503,3,8699530.515754
11982,605,3,3881271.656912
11982,607,3,6859764.140138
11982,706,3,13798355.929852
11982,142,5,9992017.48733
11982,161,5,23159174.84335
11982,162,5,4251692.35191
11982,404,5,4309784.84591
11982,406,5,6061470.50377
11982,500,5,NA
11982,503,5,18645952.57996
11982,161,7,921362.35276
11982,403,7,7933277.88372
11982,406,7,17436486.59608
11982,500,7,NA
11982,503,7,23413689.08072
11982,508,7,3443037.93568
11982,161,9,26175382.803302
11982,503,9,3129948.048848
11982,600,9,NA
11982,161,11,52361346.882956
11982,162,11,25394870.711308
11982,404,11,6531451.501762
11982,406,11,8973998.192338
11982,500,11,6972127.661838
11982,503,11,24726235.705714
11982,508,11,346621.417924
11982,161,13,32403791.853356
11982,168,13,5772966.656688
11982,404,13,9739799.964972
11982,406,13,16559733.738856
11982,407,13,NA
11982,500,13,NA
11982,503,13,11574675.352856
11982,999,13,NA
11982,161,15,858457.198416
11982,163,15,8667410.370294
11982,503,15,16545822.336351
11982,161,17,18687383.711262
11982,162,17,NA
11982,406,17,477836.104248
11982,503,17,5843596.015206
11982,506,17,2794243.355406
11982,508,17,832002.383808
11982,161,19,3533897.050112
11982,404,19,5763249.519104
11982,405,19,1057588.961792
11982,406,19,4616535.13728
11982,500,19,1081878.904832
11982,503,19,3174159.470592
11982,520,19,604269.89568
11982,161,21,10285043.1145
11982,163,21,572327.844
11982,403,21,7209338.246
11982,406,21,15542586.202
11982,500,21,1500053.643
11982,503,21,25400303.357
11982,508,21,3552013.608
11982,161,23,19334611.947837
11982,162,23,7302571.686594
11982,406,23,36068916.973659
11982,409,23,12210955.657566
11982,500,23,2816265.614577
11982,503,23,38359768.093539
11982,508,23,7278374.911119
11982,605,23,7380055.213989
11982,142,25,NA
11982,161,25,65660123.815394
11982,162,25,27782986.154172
11982,403,25,9847981.98075
11982,406,25,29659601.517866
11982,407,25,NA
11982,500,25,6084942.056128
11982,503,25,32996298.762006
11982,520,25,5735654.86884
11982,605,25,5871733.795906
11982,161,27,18375689.961148
11982,162,27,1758224.46514
11982,406,27,2003873.579924
11982,500,27,4313571.937076
11982,503,27,13304972.863291
11982,508,27,553012.612992
11982,141,29,8461168.317914
11982,161,29,10302775.503618
11982,503,29,13313607.298602
11982,508,29,616931.861026
11982,142,31,8497738.254798
11982,161,31,13578139.400311
11982,162,31,12005643.422025
11982,404,31,1873281.4228
11982,406,31,1442511.328661
11982,503,31,9421824.90932
11982,161,33,2350434.396912
11982,404,33,3365988.930696
11982,503,33,2857981.875084
11982,520,33,630320.70024
11982,161,35,11909029.583975
11982,409,35,10151618.62387
11982,500,35,8153210.991315
11982,503,35,1286945.558725
11982,520,35,NA
11982,600,35,1166696.1168
11982,602,35,21190330.08633
11982,161,37,9762922.205666
11982,404,37,13651049.078827
11982,406,37,NA
11982,500,37,NA
11982,503,37,11444094.416211
11982,602,37,5048909.566106
11982,141,39,68467133.197302
11982,142,39,8942938.517653
11982,161,39,29878696.209033
11982,403,39,8869213.298876
11982,500,39,6016431.24586
11982,503,39,10336749.585876
11982,508,39,4608520.327677
11982,600,39,6029360.018836
11982,141,41,12528615.540988
11982,161,41,2025550.705398
11982,500,41,633081.730022
11982,503,41,13516067.093281
11982,508,41,797321.577012
11982,600,41,6920921.020706
11982,406,43,4138664.107356
11982,503,43,3929457.512304
11982,506,43,2561358.866232
11982,508,43,1041247.368876
11982,520,43,7266812.40948
11982,142,45,5959009.981414
11982,161,45,3267711.348916
11982,406,45,661537.459604
11982,500,45,NA
11982,503,45,4508657.908692
11982,520,45,2606170.708848
11982,602,45,2200944.087328
11982,161,47,31989520.8864
11982,404,47,1443059.7552
11982,406,47,4154929.128
11982,503,47,25300873.53864
11982,404,49,8478074.117468
11982,500,49,2378731.375302
11982,503,49,2691593.983996
11982,161,51,7948548.389496
11982,406,51,5942437.861256
11982,501,51,NA
11982,503,51,10769850.705848
11982,600,51,NA
11982,141,53,32961259.65186
11982,142,53,833643.568065
11982,403,53,2997646.74346
11982,407,53,288306.32775
11982,500,53,5276822.847405
11982,520,53,3152712.90765
11982,600,53,2043501.39905
11982,608,53,5158633.122315
11982,161,55,17123963.138004
11982,162,55,4627315.789368
11982,406,55,1555739.493228
11982,520,55,NA
11982,161,57,4790397.738236
11982,163,57,10474682.430014
11982,404,57,NA
11982,405,57,9422385.299173
11982,406,57,10996131.77179
11982,500,57,1664971.110187
11982,503,57,20458030.699513
11982,161,59,1280788.83269
11982,404,59,1010569.346404
11982,405,59,2383630.49422
11982,503,59,8617816.267466
11982,508,59,NA
11982,142,61,13345860.1489
11982,407,61,NA
11982,503,61,2738099.34628
11982,161,63,6091283.09397
11982,406,63,2783015.362446
11982,403,65,11444520.41265
11982,404,65,17539962.15116
11982,406,65,9981982.04547
11982,503,65,8399493.76953
11982,142,67,6491274.695528
11982,161,67,18252683.113792
11982,406,67,5762389.022109
11982,503,67,2722002.620192
11982,508,67,706490.782813
11982,520,67,1504503.34154
11982,142,69,12969934.064381
11982,406,69,2756949.940625
11982,407,69,2262441.227283
11982,503,69,760333.803872
11982,163,71,NA
11982,500,71,NA
11982,161,73,18597159.177966
11982,405,73,4970558.738103
11982,406,73,NA
11982,500,73,1077063.366405
11982,503,73,8144241.841245
11982,520,73,1634271.945372
11982,161,75,5571577.448664
11982,406,75,7141417.314
11982,503,75,5435683.036368
11982,503,77,14171251.400514
11982,161,79,2195606.314098
11982,405,79,2637514.507842
11982,406,79,3379068.68013
11982,503,79,NA
11982,161,81,380555.021312
11982,162,81,9979521.953792
11982,404,81,4055354.717696
11982,406,81,2480153.682688
11982,500,81,558061.219584
11982,503,81,514124.84864
11982,503,83,3494045.60196
11982,161,85,22453956.959642
11982,404,85,7418817.17862
11982,406,85,14725352.287111
11982,500,85,743589.290821
11982,503,85,17463253.883236
11982,600,85,13383430.726857
11982,602,85,2344110.657938
11982,704,85,1992843.089746
11982,161,87,3976717.947237
11982,406,87,2647206.58419
11982,503,87,803734.94817
11982,706,87,643981.525404
11982,161,89,2635380.77698
11982,161,91,46650392.969757
11982,162,91,11284725.080229
11982,404,91,4565867.207382
11982,406,91,10813356.910776
11982,503,91,799062.971004
11982,161,93,6702876.252805
11982,406,93,NA
11982,500,93,NA
11982,503,93,12562821.649305
11982,508,93,NA
11982,161,95,5563296.958912
11982,404,95,5388178.28672
11982,406,95,17048992.2208
11982,503,95,27632482.418496
11982,141,97,4209164.444988
11982,142,97,7710903.53946
11982,161,97,855387.66555
11982,403,97,17963846.30673
11982,407,97,2216451.201426
11982,500,97,NA
11982,503,97,4902440.447394
11982,602,97,9082036.327248
11982,607,97,1250492.19606
11982,608,97,14645818.710594
11982,161,99,36127587.217586
11982,403,99,389442.689752
11982,404,99,7026852.987234
11982,406,99,2329098.090792
11982,407,99,9083546.966448
11982,500,99,4173428.28049
11982,503,99,14307523.43165
11982,503,101,13816187.789628
11982,503,103,5315000.43216
11982,161,105,10123560.356118
11982,162,105,20279949.656978
11982,404,105,8052854.038308
11982,406,105,7591066.548998
11982,500,105,NA
11982,503,105,4359301.390176
11982,508,105,915523.054992
11982,520,105,1367080.853208
11982,602,105,5456660.433896
11982,161,107,97892661.233862
11982,404,107,3906952.848396
11982,406,107,3551118.362208
11982,503,107,20592330.400116
11982,142,109,5271053.421504
11982,161,109,5947509.113364
11982,162,109,17215637.161788
11982,406,109,8558031.861717
11982,500,109,446911.175529
11982,503,109,17011750.930005
11982,508,109,NA
11982,161,111,1945751.723168
11982,162,111,NA
11982,404,111,6041129.279008
11982,406,111,3849737.953728
11982,500,111,529689.692608
11982,503,111,13277653.410592
11982,506,111,3725102.650848
11982,508,111,3224050.978528
11982,608,111,NA
11982,161,113,4133117.391824
11982,162,113,8974549.025386
11982,404,113,11553639.590732
11982,406,113,1704860.299374
11982,503,113,9007195.017454
11982,161,115,17866823.261536
11982,162,115,17666951.846784
11982,404,115,3060387.98784
11982,406,115,3409539.529216
11982,500,115,602003.01056
11982,503,115,5349947.192576
11982,161,117,NA
11982,406,117,NA
11982,503,117,701426.49596
11982,520,117,994873.52276
11982,999,117,NA
11982,161,119,27050096.842128
11982,162,119,34499060.921856
11982,404,119,3029250.260136
11982,406,119,3909540.554784
11982,500,119,1975535.22828
11982,503,119,1321904.9034
11982,508,119,2585630.032872
11982,141,121,10979088.160113
11982,161,121,8718739.891128
11982,405,121,NA
11982,406,121,15209420.685723
11982,500,121,NA
11982,503,121,15355744.77141
11982,520,121,1000945.024704
11982,161,123,6668333.01305
11982,403,123,9844062.153425
11982,404,123,628049.894175
11982,406,123,14119163.522
11982,500,123,2612344.329
11982,503,123,22533681.878225
11982,508,123,9827771.3697
11982,520,123,3515932.555125
11982,161,125,62753728.246204
11982,405,125,4575651.568984
11982,406,125,15942820.45796
11982,500,125,NA
11982,503,125,3676340.216408
11982,508,125,12000614.631856
11982,602,125,9384075.546256
11982,161,127,34453194.171203
11982,162,127,8579266.49041
11982,163,127,3129693.239304
11982,404,127,2855018.020466
11982,405,127,3426093.787458
11982,406,127,2791254.026882
11982,500,127,973851.745328
11982,501,127,NA
11982,503,127,18672749.120547
11982,142,129,29667106.389522
11982,161,129,12984966.523774
11982,162,129,9872045.620521
11982,403,129,344926.839564
11982,406,129,30668296.929973
11982,407,129,12443866.457299
11982,500,129,7484342.010188
11982,501,129,1673560.210913
11982,503,129,12920830.865752
11982,520,129,654357.428837
11982,600,129,1117506.262585
11982,608,129,19754304.477276
11982,142,131,11278035.555471
11982,161,131,39118327.531782
11982,162,131,32049644.045067
11982,404,131,12342890.49963
11982,406,131,16944273.318663
11982,500,131,NA
11982,503,131,9457752.408051
11982,602,131,NA
11982,608,131,854722.722816
11982,706,131,3663209.312736
11982,161,133,NA
11982,162,133,3451527.108205
11982,163,133,NA
11982,503,133,20000421.062055
11990,142,1,7314347.18991782
11990,161,1,34751481.1493544
11990,162,1,10189976.6648657
11990,406,1,6456559.06000633
11990,503,1,9190496.3267652
11990,602,1,6856839.04203982
11990,141,3,33144221.2495885
11990,142,3,74722348.0774262
11990,161,3,34825592.2820943
11990,403,3,21602784.7469574
11990,406,3,14003880.9407028
11990,407,3,19562418.0897681
11990,500,3,1936269.64926879
11990,503,3,13537235.378991
11990,607,3,24144173.3491441
11990,608,3,9396295.7315606
11990,161,5,37888254.3079242
11990,162,5,8600162.45328084
11990,404,5,423023.8500552
11990,406,5,32314061.6364307
11990,500,5,NA
11990,503,5,20675463.8034337
11990,600,5,NA
11990,602,5,10195268.5548538
11990,141,7,8481180.80474316
11990,161,7,32759347.7214142
11990,162,7,5522219.62675326
11990,163,7,1563588.19858031
11990,403,7,10013290.5176746
11990,406,7,11012636.5900877
11990,503,7,29281231.8441744
11990,163,9,4304547.80823284
11990,406,9,8255764.24177589
11990,500,9,1035129.25785571
11990,503,9,17511534.6723488
11990,161,11,39333873.2662038
11990,406,11,22139862.4552888
11990,500,11,4606815.11015366
11990,503,11,9024102.96969854
11990,508,11,NA
11990,161,13,149102961.052185
11990,404,13,7396609.31181385
11990,406,13,27279917.0521567
11990,407,13,4345138.74066747
11990,500,13,2832777.83673546
11990,503,13,16549004.5467919
11990,602,13,9375854.73227817
11990,163,15,1265188.63369242
11990,404,15,13007360.057632
11990,405,15,5128246.50949212
11990,406,15,11407512.4473751
11990,503,15,22849288.6053588
11990,161,17,42607492.0995283
11990,162,17,11744797.0943363
11990,406,17,26372765.1335965
11990,503,17,15318664.7018332
11990,161,19,NA
11990,171,19,947663.21201184
11990,404,19,3477281.99715792
11990,406,19,6631866.53202672
11990,503,19,6147929.52713088
11990,161,21,NA
11990,403,21,8100710.60917248
11990,405,21,1781117.27849733
11990,406,21,3276687.11212915
11990,503,21,18163995.1419974
11990,161,23,80874358.176435
11990,406,23,54041275.8384007
11990,500,23,NA
11990,503,23,36577302.112106
11990,508,23,4041827.21064449
11990,600,23,4553164.45004597
11990,602,23,37401160.9730314
11990,141,25,4256794.47377715
11990,161,25,67014412.9544287
11990,162,25,41899972.2054078
11990,406,25,24479234.8904014
11990,409,25,3417056.31258263
